Autor,Obra
Thomas Malory,La muerte de Arturo
Lewis Carroll,Alicia en el país de las Maravillas
E. Nesbit,Cinco niños y esto
P.L. Travers,Mary Poppins
C.S. Lewis,"El león, la bruja y el ropero"
C.S. Lewis,La travesía del viajero del alba
J.R.R. Tolkien,La comunidad del anillo
Terence Hanbury White,Camelot
Roald Dahl,Jim y el durazno gigante
